name,placeType,city,state,country,rating,reviewsNumber,hostedBy,guestNum,bedroomNum,bedNum,bathNum,cleanliness,accuracy,communication,location,checkIn,Value,full_location,hostJoined,pricePerNight,ID,url,page
Cottage,Entire cabin,Omitlán de Juárez,Hidalgo,Mexico,,,Hugo David,5,2,2,1.5,,,,,,,"Omitlán de Juárez, Hidalgo, Mexico",2019,83,234,https://airbnb.com/rooms/37290466?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-19&check_out=2023-10-24&source_impression_id=p3_1697748294_9n2QSfO4Gu3bGiqT&previous_page_section_name=1000&federated_search_id=d67da77b-8199-4ccc-9ca6-d35e392b7816,14
Beautiful cabin in the middle of the forest.,Entire cabin,rufina,hidalgo,Mexico,,,Carlos,8,4,4,2,,,,,,,"rufina, hidalgo, Mexico",2016,152,235,https://airbnb.com/rooms/16030606?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-20&check_out=2023-10-25&source_impression_id=p3_1697748311_%2FlIP%2BbLwYqvnXQNi&previous_page_section_name=1000&federated_search_id=ee99d0ce-064a-40ed-919c-3b0934a01d9b,14
Cabins omitlan country stay RM #1.2 Master,Nature lodge,Omitlán de juarez,Hidalgo,Mexico,4.67,3,Ruben,4,1,1,1,4.0,5.0,5.0,4.7,5.0,4.7,"Omitlán de juarez, Hidalgo, Mexico",2017,110,236,https://airbnb.com/rooms/31193959?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-20&check_out=2023-10-25&source_impression_id=p3_1697748312_2KtbgUK8k8be5RD1&previous_page_section_name=1000&federated_search_id=ee99d0ce-064a-40ed-919c-3b0934a01d9b,14
Luxury Cabins,Entire place,Omitlán de Juárez,Hidalgo,Mexico,,,Desarrollo Turistico,2,1,1,1,,,,,,,"Omitlán de Juárez, Hidalgo, Mexico",2022,110,237,https://airbnb.com/rooms/917452125644149325?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-19&check_out=2023-10-24&source_impression_id=p3_1697748312_RjjWLgypOrJwUnmL&previous_page_section_name=1000&federated_search_id=ee99d0ce-064a-40ed-919c-3b0934a01d9b,14
Garden Rincón de las estrellas,Nature lodge,NA,NA,NA,,,Chantal,4,1,1,1,,,,,,,"Pachuca, Hgo., Mexico",2016,66,238,https://airbnb.com/rooms/33879575?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-20&check_out=2023-10-25&source_impression_id=p3_1697748312_6%2BB1aggzoHPZCIia&previous_page_section_name=1000&federated_search_id=ee99d0ce-064a-40ed-919c-3b0934a01d9b,14
Cabaña Imperial Real del Monte 5,Entire cabin,Mineral del Monte,Hidalgo,Mexico,,,Juan,4,2,2,1,,,,,,,"Mineral del Monte, Hidalgo, Mexico",2020,99,239,https://airbnb.com/rooms/832740006445608538?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-19&check_out=2023-10-24&source_impression_id=p3_1697748312_gSpsUWYb6rTzBDgy&previous_page_section_name=1000&federated_search_id=ee99d0ce-064a-40ed-919c-3b0934a01d9b,14
Amazing two-story home in city,Entire home,Pachuca,Hidalgo,Mexico,,,,7,3,3,2,,,,,,,"Pachuca, Hidalgo, Mexico",2016,126,240,https://airbnb.com/rooms/754249035354628725?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-19&check_out=2023-10-24&source_impression_id=p3_1697748312_RfZl4H4PMX4pyWrT&previous_page_section_name=1000&federated_search_id=ee99d0ce-064a-40ed-919c-3b0934a01d9b,14
"Room, eco-friendly fireplace, services at 100.",Room in Mexico,NA,NA,NA,,,,3,Shared,Shared,,,,,,,,"Hidalgo, Mexico",,86,241,https://airbnb.com/rooms/754424471191267868?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1523257981&check_in=2023-10-19&check_out=2023-10-24&source_impression_id=p3_1697748312_bNj9YySrhWCRs%2Fob&previous_page_section_name=1000&federated_search_id=ee99d0ce-064a-40ed-919c-3b0934a01d9b,14
Pleasant cabin with indoor fireplace,Entire cabin,Mineral del Monte,Hidalgo,Mexico,,,Oscar Gilberto,15,7,7,3,,,,,,,"Mineral del Monte, Hidalgo, Mexico",2022,600,242,https://airbnb.com/rooms/698059805257614148?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-19&check_out=2023-10-24&source_impression_id=p3_1697748312_zuL2Ylds3KZncinI&previous_page_section_name=1000&federated_search_id=ee99d0ce-064a-40ed-919c-3b0934a01d9b,14
"Escape to the woods, enjoy this charming place",Room in Mexico,NA,NA,NA,,,,5,Shared,Shared,,,,,,,,"Hidalgo, Mexico",2017,83,243,https://airbnb.com/rooms/648426645632193769?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-20&check_out=2023-10-25&source_impression_id=p3_1697748312_F7BwepecCwqpkVD0&previous_page_section_name=1000&federated_search_id=ee99d0ce-064a-40ed-919c-3b0934a01d9b,14
